Timestamp,People_Count,Queue_Status,Waiting_Time
09:33:25,1,Analyzing...,2.0
09:33:25,1,Analyzing...,2.0
09:33:25,1,Analyzing...,2.0
09:33:26,1,Analyzing...,2.0
09:33:26,1,Short Queue,2.0
09:33:26,1,Short Queue,2.0
09:33:26,1,Short Queue,2.0
09:33:26,1,Short Queue,2.0
09:33:26,1,Short Queue,2.0
09:33:26,1,Short Queue,2.0
09:33:26,1,Short Queue,2.0
09:33:26,1,Short Queue,2.0
09:33:26,1,Short Queue,2.0
09:33:27,1,Short Queue,2.0
09:33:27,1,Short Queue,2.0
09:33:27,1,Short Queue,2.0
09:33:27,1,Short Queue,2.0
09:33:27,1,Short Queue,2.0
09:33:27,1,Short Queue,2.0
09:33:27,1,Short Queue,2.0
09:33:27,1,Short Queue,2.0
09:33:28,1,Short Queue,2.0
09:33:28,1,Short Queue,2.0
09:33:28,1,Short Queue,2.0
09:33:28,1,Short Queue,2.0
09:33:28,1,Short Queue,2.0
09:33:28,1,Short Queue,2.0
09:33:28,1,Short Queue,2.0
09:33:28,1,Short Queue,2.0
09:33:28,1,Short Queue,2.0
09:33:28,1,Short Queue,2.0
09:33:28,1,Short Queue,2.0
09:33:29,1,Short Queue,2.0
09:33:29,1,Short Queue,2.0
09:33:29,1,Short Queue,2.0
09:33:29,1,Short Queue,2.0
09:33:29,1,Short Queue,2.0
09:33:29,1,Short Queue,2.0
09:33:29,1,Short Queue,2.0
09:33:29,1,Short Queue,2.0
09:33:29,1,Short Queue,2.0
09:33:29,1,Short Queue,2.0
09:33:29,1,Short Queue,2.0
09:33:30,1,Short Queue,2.0
09:33:30,1,Short Queue,2.0
09:33:30,1,Short Queue,2.0
09:33:30,1,Short Queue,2.0
09:33:30,1,Short Queue,2.0
09:33:30,1,Short Queue,2.0
09:33:30,1,Short Queue,2.0
09:33:30,1,Short Queue,2.0
09:33:30,1,Short Queue,2.0
09:33:30,1,Short Queue,2.0
09:33:31,1,Short Queue,2.0
09:33:31,1,Short Queue,2.0
09:33:31,1,Short Queue,2.0
09:33:31,1,Short Queue,2.0
09:33:31,1,Short Queue,2.0
09:33:31,1,Short Queue,2.0
09:33:31,1,Short Queue,2.0
09:33:31,1,Short Queue,2.0
09:33:31,1,Short Queue,2.0
09:33:31,1,Short Queue,2.0
09:33:31,1,Short Queue,2.0
09:33:32,1,Short Queue,2.0
09:33:32,1,Short Queue,2.0
09:33:32,1,Short Queue,2.0
09:33:32,1,Short Queue,2.0
09:33:32,1,Short Queue,2.0
09:33:32,1,Short Queue,2.0
09:33:32,1,Short Queue,2.0
09:33:32,1,Short Queue,2.0
09:33:32,1,Short Queue,2.0
09:33:32,1,Short Queue,2.0
09:33:32,1,Short Queue,2.0
09:33:33,1,Short Queue,2.0
09:33:33,1,Short Queue,2.0
09:33:33,1,Short Queue,2.0
09:33:33,1,Short Queue,2.0
09:33:33,1,Short Queue,2.0
09:33:33,1,Short Queue,2.0
09:33:33,1,Short Queue,2.0
09:33:33,1,Short Queue,2.0
09:33:33,1,Short Queue,2.0
09:33:33,1,Short Queue,2.0
09:33:34,1,Short Queue,2.0
09:33:34,1,Short Queue,2.0
09:33:34,1,Short Queue,2.0
09:33:34,1,Short Queue,2.0
09:33:34,1,Short Queue,2.0
09:33:34,1,Short Queue,2.0
09:33:34,1,Short Queue,2.0
09:33:35,1,Short Queue,2.0
09:33:35,1,Short Queue,2.0
09:33:35,1,Short Queue,2.0
